name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"glibc/60",103669617,6.93084,6.91732,ns,,,,,
"glibc/62",110926452,6.34186,6.32294,ns,,,,,
"glibc/64",87186993,8.03436,8.02073,ns,,,,,
"glibc/66",94299840,7.35962,7.3579,ns,,,,,
"glibc/68",94654856,7.36507,7.36347,ns,,,,,
"glibc/70",103553977,6.86928,6.86785,ns,,,,,
"glibc/72",88710540,7.91206,7.91014,ns,,,,,
"glibc/74",94630153,7.38302,7.38129,ns,,,,,
"glibc/76",95328955,7.3793,7.37729,ns,,,,,
"glibc/78",103317889,6.84457,6.84237,ns,,,,,
"glibc/80",78598893,9.18121,9.16815,ns,,,,,
"glibc/82",83462611,8.44071,8.43861,ns,,,,,
"glibc/84",82217186,8.47762,8.47567,ns,,,,,
"glibc/86",88525288,7.95734,7.95533,ns,,,,,
"glibc/88",80146387,8.76472,8.76205,ns,,,,,
"glibc/90",85150708,8.29157,8.28367,ns,,,,,
"glibc/92",80358699,8.16918,8.1671,ns,,,,,
"glibc/94",91851421,7.70949,7.70691,ns,,,,,
"glibc/96",86800613,8.07675,8.07473,ns,,,,,
"glibc/98",94463653,7.3975,7.39586,ns,,,,,
